Unnamed: 0,rating,sentiment,review,spearman,sympathy,unsympathy,correlation
1,10,0.363112628,이런게영화다. 엔딩크레딧 오를때까지 아무도 안나감.... 감사합니다! ,0.016126702,14179,1266,0.636887372
2,10,0.934854269,꼭  보아야  할  영화입니다!! ,0.013313102,10230,960,0.065145731
3,10,0.492631286,현재 대학생뿐만 아니라 모든 국민들이 꼭 봐야 할 영화인 것 같습니다. ,-0.308661646,9938,924,0.507368714
4,10,0.312948942,소재만 따와서 각색하던 영화가 많았는데 1987은 직접 그 시대로 돌아간 듯한 느낌을 받았습니다 꼭 보시는 것을 추천해드립니다 ,0.177656052,9161,732,0.687051058
5,10,0.621798098,가슴먹먹해지는 영화..호헌철폐독재타도 잊지않겠습니다 ,-0.218879229,8564,783,0.378201902
6,8,0.408924639,배우들이 의기투합해서 만든 다큐 같아요.보고나니 뭉클하네요.잊지맙시다. ,0.866025404,6888,532,0.391075361
7,10,0.569523931,박종철열사 이한열열사...뜨거웠던 1987년에 대한 배우들의 헌정영화. ,0.522040904,6546,421,0.430476069
8,10,0.636285067,주 조연의 구분이 의미 없는 영화 인물간의 적절한 역할분배와 서사가 자칫 클리셰로 진부하게 느낄 영화를 완성도 있게 해주었다. 강동원 설경구의 등장은 그런점에서 카메오 이상의 무언가를 보여주었다. ,0.433046617,5856,438,0.363714933
9,10,0.406734794,진실은 승리한다. 아무리 감추고 조작하려고 애써도. ,0.234942298,5355,457,0.593265206
10,10,0.978177905,오래간만에 느끼는 가슴 벅참! 또 보고 싶네요 ,0.094476313,4908,428,0.021822095
11,10,0.480062693,故 박종철 열사 아버지역의 김종수 배우님. 강가에서 생때같은 죽은 자식의 뼈가루를 흩날리던 장면은 잊혀지지 않네요. 가루가 살얼음위에 엉키자 왜 떠나가지 못하냐며 직접 손으로 떼어 흘려보내던 모습에서 정말 절절하게 울컥했습니다. 감동적이였어요. ,0.121967869,3821,109,0.519937307
12,10,0.727025211,두번 세번 봐도 아깝지 않을 영화입니다. ,-0.866025404,3802,253,0.272974789
13,10,0.987161636,최고였다 질질짜게 하는 신파가 아니가 진짜 가슴을 울리는 먹먹한 눈물이 나왔다 올해 최고의 영화다 ,0.05728427,3586,176,0.012838364
14,10,0.347266734,하정우김윤석 추격자 황해 1987 3연속으로 싸운다 ,0.177203817,3436,272,0.652733266
15,10,0.894309878,진짜.. 눈물이 멈추지 않았다 ㅠㅠ 1987.. 화이팅!!! ,-0.162496059,3353,248,0.105690122
16,10,0.332020581,일베들 평점 테러 벌써 시작됐네... 시사회 이후 반응이 전문가 평점이 8점이고 일반인들도 다들 극찬하는 영화인데... 부디 사람들 일베에 속지 말고 영화를 보고 판단하기를  바랍니다. ,0.091076511,3241,397,0.667979419
17,10,0.930171847,저는 87학번입니다. 무엇을 말해야 할까요? 해야 할 말이 없습니다.영화를 보면 더욱 할 말이 없어집니다.그냥 최고의 영화입니다.얼마나 울었는지.. 끝나고도 일어설 수 없었습니다.정말 별 백만개 드리고 싶습니다. ,0.670820393,2744,148,0.069828153
18,10,0.530831993,근래 보기 힘든 대작~~ ,0.365746885,2467,189,0.469168007
19,9,0.983200252,강철비는 나라를 생각하게 하는영화였고신과함께는 부모님을 생각하게 하는 영화였고1987은 시대를 생각하게 하는 영화였다.그시대를 치열하게 살아온 선배들이 있기에 지금 내가 많은걸 누리고 있다는걸 잘안다. ,-0.264820449,2275,94,0.083200252
20,10,0.928248227,가슴이 먹먹해지는 영화입니다 ,-0.021122964,2319,168,0.071751773
21,10,0.997383595,이런 영화가 많아졌으면 좋겠습니다. 현재에 살고있는 20대로서 1987년에 있었던 일들을 알게되고 관심을 가지게 되었습니다. 세련된 영화적인 연출과 배우들의 케미 또한 너무 좋았고 특히 극중 '연희'에게 빠져들어 눈물이 계속 났습니다 ㅠㅠ ,0.495017188,2200,176,0.002616405
