Unnamed: 0,rating,sentiment,review,spearman,sympathy,unsympathy,correlation
1,10,0.82379359,송강호 유해진 류준열이 한번씩 눈물 쏟게 만듦.. 그날의 광주에 택시운전사와 함께 다녀온 듯 먹먹하다 ,0.201074879,18592,1860,0.17620641
2,10,0.053634346,최근에 본 영화중 가장 돈이 안 아까운 영화! ,0.310529502,16919,1891,0.946365654
4,10,0.893830299,배우들 연기 때문에 그리고 역사적 상황때문에 넘 마니 울었어요ㅠ가슴이 먹먹하고 뭉클해지실꺼예요 ,0.410791918,9077,1145,0.106169701
5,10,0.803908467,단순히 픽션인줄 알았더니 사실에 기반한 영화였다.보는내내 눈물났고 옆자리 할머니 할아버지들 무지 우셨다 눈물이 마르지않으시는듯 계속 우셨다 빨갱이란 단어가 왜 쓰였는지도 알수 있다 전두환은 최대한 괴롭게 죽었으면.. 젊은세대들이 꼭 봐야할영화 ,0.442521702,8384,600,0.196091533
6,10,0.653866053,우리가 꼭 목격해야 할 1980년 5월의 광주. ,0.143618878,8067,828,0.346133947
7,10,0.53480655,실컷 웃기더니 더 크게 울림 ,-0.474341649,7819,820,0.46519345
8,10,0.997317493,기다리던영화라 시사회로 보고왔어요. 다루기어려운소재인만큼 마음도 묵직해지는 영화였어요. 꼭봐야할영화로 강추입니다! ,0.866025404,6040,811,0.002682507
9,10,0.936583161,이번에 시사회 당첨되서 신랑이랑 보러갔는데 영화 끝나고 마음이 먹먹해지면서 엄청 울었네요..귀찮다고 안갔으면 후회할뻔ㅜ올해 한국 영화 중에 천만 찍을거 같아용 기대합니당 ,0.412393049,5216,690,0.063416839
10,10,0.837242544,아.. 아침부터 여운이.. 그날을 바라보는 새로운 시선과 감동 웃음의 적절한 드라마...오늘 하루 계속 생각날듯 ,0.081910637,4358,367,0.162757456
11,10,0.982871532,우린 그때그상황을 그 분들을 잊지않았다고 말해주고싶다ㅠㅠㅠㅠ배우들이 연기를 너무잘해서 더 몰입해서 볼 수있었던 영화ㅠㅠ ,0.46291005,4136,304,0.017128468
12,10,0.993392944,영화 잘 봤습니다 유쾌하다가도 가슴 먹먹해지는... 간만에 좋은 영화 본 것 같네요 송강호 유해진 류준열 연기 최고에요 ㅠㅠㅠ ,0.603022689,3663,312,0.006607056
13,10,0.062050015,위르겐 힌츠페터... 정말.. 잊어서는 안되는 아니 잊을수없는 인물.. ,0.160789118,3398,276,0.937949985
14,10,0.99977839,재미 슬픔 감동 모두 있는 영화ㅠ 가족들과 함께 봤는데 부모님도 엄청 재밌게 잘 보셨습니다~ 강추! ,0.368031485,3433,325,0.00022161
15,10,0.482886404,이 땅에 살게 해 주신 많은 분들께 감사합니다 ㅠㅠㅠ ,0.115090055,3187,228,0.517113596
17,10,0.948281944,회사에서 시사회로 다같이 봤는데 역시 국민배우 송강호라는 찬사가.. 그리고 류준열 너무 귀엽게 나옴ㅠㅠ ,0.866025404,2901,330,0.051718056
18,10,0.938150287,그동안의 518 영화들과 다르게 독일기자와 서울 택시운전사의 시선으로 그려진 영화.  언론통제로 알지못했던 그 날의 참상을 2017년에서야 마주할 수 있게 되었고  인간이기에 분노할 수밖에 없었다. ,-0.010751134,2489,214,0.061849713
19,10,0.803237081,전두환 진짜 볼수록 열받네! ,0.502902818,2220,135,0.196762919
20,10,0.449041784,역사를 잊은 민족에게 미래는 없다. ,-0.447213595,2226,228,0.550958216
21,9,0.855117917,영화 택시 운전사 오전7시 첫개봉 보고 나왔습니다..다큐에 가까운 고증오락성과 픽션이 적절히 어울어진구성은 최근 광주관련 영상 중가장 압권이라 생각됩니다..추천드립니다 ,0.282622976,2050,184,0.044882083
22,10,0.971209526,진짜 꼭 보세요ㅠㅠㅠ정말 영화다운 영화본 것 같아요!!! ,0,1948,152,0.028790474
23,10,0.981140554,가슴이 너무 먹먹하네요~~ 김사복님 같은분이 진정한 애국열사입니다. ,0.497498959,1827,135,0.018859446
24,10,0.943632901,전두환이 꼭 봐야할 영화 ,0.179062516,1639,92,0.056367099
25,10,0.715996206,시사회 때 보고 좋아서 제 돈 주고 또 보러 갑니다 ㅠㅠ 돈 값 하는 영화 ,-0.149582894,1800,258,0.284003794
26,10,0.419299543,518민주화운동...아직도 우리나라교과서에는 아주 짤막하게 단몇줄로나와있지만 민주화를위해 힘썼던 그분들의 희생은잊어서는 절대안될것입니다 37년전의 금남로거리를 잊지말아야합니다.. ,0.266100775,1663,149,0.580700457
27,10,0.99687928,송강호의 연기가 단연 최고였던. 감동적이었어요! ,0,1592,145,0.00312072
28,10,0.939856648,사실묘사가 잘 되어있어 재미있게 봤습니다 ,0.493164267,1329,124,0.060143352
29,10,0.226722509,5 18이라는 이유로 조만간 일베들의 평점테러가 시작되겠지? ,0.461350211,1317,154,0.773277491
30,10,0.844002366,거부감 없이 따뜻하게 5.18 광주 그날에 다녀오는 감동과 경험 감사합니다 ,0.576902963,1160,106,0.155997634
31,10,0.750074387,별10개도 모자라다 ㅠㅠ 와진짜 이 영화보고도 광주 민주화운동을 홍어 빨갱이 폭도 라고 하는 무식한 사람 잇으려나   ,0.158747546,1111,72,0.249925613
32,10,0.976828218,오랜만에 잘만든 한국영화를 봤다. 배우들 연기좋고  찡하고  감동도 있고.. ,0.504467382,1159,137,0.023171782
33,9,0.465367138,송강호의 감정연기는 여전히 보는이들의 가슴을 울리네... ,0.297928107,1113,127,0.434632862
34,10,0.6929546,군함도 보고 실망했던 맘이 정화됨 ,0.441893958,977,99,0.3070454
35,10,0.234786868,아니그냥 ㅠ^ㅠ봐야해요오 ,-0.025404374,956,92,0.765213132
36,10,0.993411779,송강호를 비롯해 유해진 류준열 외국배우 등등 하나같이 연기도 너무 잘하고요. 송강호 시선대로 따라가다보니 저도 같은 외부인 입장이라 공감대 형성이 엄청나게 되서 감정적으로 더 와닿네요. 좋았습니다ㅠㅠ ,1,906,65,0.006588221
37,10,0.395267129,택시운전사 1000만을 향해.평점테러 일베충은 사회악이다. ,0.579505683,890,90,0.604732871
38,10,0.965510726,꼭봐라 두번봐라 송강호는 진심 갑이다 정권이 바껴 이젠그럴일 없겠지만 본인에게 불이익이 올수도있는 영화를 소신있게 참여한다 변호인때도 그랬지만 최고의 배우인것같다 ,0.31292753,759,43,0.034489274
41,10,0.90257293,여기 나온 배우들 모두 넘침도 모자람도 없는 완벽한 조합의 최고의 캐스팅이었다 굿굿 ,0.608499012,727,90,0.09742707
42,10,0.786309123,결국 인종 성격이 달라도 그들도 분노한 사람이였다. 뭉클하지만 영화 ,0.321545895,700,98,0.213690877
43,10,0.757659078,토마스 크레취만은 피아니스트에서도 그랬지만 이 영화를 통해서도 참된 휴머니스트의 모습을 보여주어서 정말 고마웠습니다. ,0.333339568,647,62,0.242340922
44,8,0.534825385,지금의 민주주의가 그냥 얻어진게 아니라는 거 잊지않고 늘 감사하며 살아가겠습니다 ,-0.024708311,580,44,0.265174615
45,9,0.992461443,감동적이고 재밌던 영화. 광주 탈출할 때 택시 추격씬 조금 아쉬움.. ,0.279589409,701,172,0.092461443
46,10,0.99425745,기대한것만큼 좋았습니다. 너무 슬프고 암담한현실속에서도  따뜻함이 베어있어 더 감동적이였어요. ㅠㅠ ,0.374580605,568,55,0.00574255
47,10,0.666571975,억지 신파가 아닌 택시운전사의 시선으로 본 그날의 현장을 담당하지만 큰 울림으로 그려내어 너무 좋았습니다~ ,0.065987096,558,59,0.333428025
48,8,0.673585594,다시는 인간이 안된 덜 떨어진 색마와 사이코패스 따위가권력을 가지지 못하길 바라며... 광주시민들의 숭고한 희생에 한없이 부끄러움을 느낀다. 지금 이순간에도 지워져야 하는 인간은 여전히 숨을 쉬고있고 기억돼야 하는 분들은 잊혀져가고 있음이 안타깝다. ,0.668828946,510,38,0.126414406
50,10,0.975364923,넘슬펐어요~ㅠㅠ 실화라는게 맘이아프네요 ,0.74866555,483,50,0.024635077
