Unnamed: 0,rating,sentiment,review,spearman,sympathy,unsympathy,correlation
2,9,0.771038294,역사를 알고 보면 괜찮은 영화 하정우는 역시 ,0.774806218,8654,581,0.128961706
4,10,0.998092413,완벽한 영화. 역시 최동훈감독이다. 러닝타임이 짧게 느껴질정도로 흥미진진하고 재밌고 감동적이다. 이런 영화는 잘되야한다. 1000만은 기본 2000만 찍어야한다. ,0.513425107,4336,488,0.001907587
5,7,0.330808163,한국영화라 좀 편견을 갖고 보긴했습니다만  적당한 개그에 역사적 사실에 기반한 내용이라 그런지 나올땐 울컥했습니다. 결국 아직도 그런 친일파들이 주요 요직에 많이 있는데...씁쓸하더군요. ,0.20519567,3522,436,0.369191837
6,9,0.190936536,다보고나면 왠지모르게 하정우가 강하게 기억에 남는다.뭐지.... ㅠ흑 ,0.299653907,2732,108,0.709063464
7,10,0.515163958,전지현이 웨딩드레스 입고  저격하는 모습이 인상적이다.  예쁘다.  하정우는  극에 활력을 불어 넣는거 같고 이정재는 연설신에서 강렬했다. ,0.5,2475,109,0.484836042
8,10,0.923969388,아주아주재밋게봣습니다 ,0.8,1975,165,0.076030612
9,10,0.991198957,최고입니다 끝나고도 여운이 남는 영화 ,0.524900784,1957,150,0.008801043
10,10,0.980318785,1930년대 당시 상해와 서울의 낭만과 혼란스러움을 적절하게 잘 표현해낸 최동훈. 너무나도 톡톡튀는 개성을 가진 전지현하정우이정재조진웅오달수까지..뭐라형용할수없을정도로 올해하반기 최고의영화예약! ,0.073922848,1777,142,0.019681215
11,10,0.993334055,기대하지 않았던 감동과 찡함. 단순 오락 영화라고 생각했는데 많은 생각이 드는 영화 ,0.120026483,1534,121,0.006665945
13,9,0.929120421,믿고 보는 배우들 연기력  근래 개봉했던 한국영화중에서 재미있었습니다 ,0.290989619,1281,111,0.029120421
14,8,0.8273592,전지현 독보적 존재감!! ,0.414549579,1259,156,0.0273592
16,10,0.991640091,지금 우리가 이 땅에 살 수 있는 건 과거 얼마나 많은 선조들의 피와 땀이 필요했을지 고민할 수 있었습니다. 그 고민을 경쾌하고 밝게 전달해주신 감독과 배우 화이팅! ,-0.122034599,838,30,0.008359909
