Unnamed: 0,rating,sentiment,review,spearman,sympathy,unsympathy,correlation
1,10,0.392622918,애인이랑 영화를 보고나와서 맥주를 먹는데 안주가 필요없대요 현빈을 보고난후 절 보니 오징어같다고 마요네즈 가져오라네요... ,-0.866025404,6114,749,0.607377082
2,10,0.88488245,현빈의 액션은 볼수록 멋있었고  유해진은 갈수록 웃김ㅋㅋㅋㅋ 둘의 케미도 최고였다 ,0.25,4201,689,0.11511755
3,10,0.252051085,아... 현빈.... ,-0.093333333,3724,572,0.747948915
4,10,0.989583552,넘나 기분좋게 보고 나왔네요 ㅋㅋㅋ 현빈 유해진 뜻밖의 케미 ㅋㅋㅋㅋ 담주에 엄빠도 보여드림 좋을듯 ,0.200657389,2811,535,0.010416448
5,10,0.808092713,재밌다는데 더말이 필요해? ,0.213607067,2608,613,0.191907287
6,10,0.231109113,현빈하고 유해진인데 더말이필요할까 고민하지말고 보삼 ,0.36851535,1920,387,0.768890887
7,10,0.982607007,현빈 멋짐 터짐♡.♡ 유해진과 케미도 굿!추격전 총격전 아슬아슬 긴장감에 소름 돋음.재밌게 조조를 즐겼음^^ ,0.866025404,1227,189,0.017392993
9,9,0.99998796,무대인사 시사회로 봤는데 내사랑 현빈을 눈앞에서♡ 너무 재밌었다! 유쾌한 유해진과 넘나 멋진 현빈의 캐미도 좋구..악역 잘 소화한 김주혁  귀엽고 웃긴 윤아ㅎㅎ시원시원한 액션도 짜릿하다~ 너무 웃겨서 눈물난것도 참 오랜만ㅋㅋ ,0.503521593,989,219,0.09998796
10,10,0.998173952,역시 믿고 보는 유해진 현빈!! 정말 재미있습니다!! 핵꿀잼!! ,0.034401046,761,144,0.001826048
11,10,0.576099157,인성이 보려다 현빈본건데 재미잇네요 ,-0.204124145,566,119,0.423900843
14,10,0.863859773,현빈 넘 멋져요~즐겁게 봤어요 ,-0.866025404,424,102,0.136140227
15,10,0.423649788,현빈 개멋있다 윤아 개이쁘다 ,-0.174637617,383,80,0.576350212
16,10,0.493094742,잼써요 현빈존잘@.@ ,0.651583766,392,93,0.506905258
17,10,0.803176999,더킹 자리없어서 공조봤는데 진짜 공조보길 잘한거같음 진짜 말이 필요없다 ,0.43643578,323,73,0.196823001
18,9,0.230111063,현빈 존잘..오랜만에 액션신 제대로 본듯한 느낌 ,0.473831745,245,53,0.669888937
19,9,0.924652159,재미있게봤구요 유해진씨연기가 날로느네요 ,-0.185312329,284,92,0.024652159
20,10,0.493094742,남한형사 현빈 X 북한형사 유해진 ,0.106275587,301,130,0.506905258
21,10,0.999434888,아~~진짜 영화선택 탁월했어용ㅎ완전 빠져서 ㅎㅎ유해진 이랑  현빈의 케미가 죽여줍네용ㅎㅎㅎ또 봐도 좋을거같아용^^사랑합니다 ,0.668855169,227,60,0.000565112
22,10,0.787567496,몰입도 괜찮구요현빈 멋있게 나오구요유해진 웃기구요지리구요 ,0.387793285,211,61,0.212432504
23,9,0.970824838,재밌게 웃으면서 잘봤습니당 ,0.866025404,192,66,0.070824838
24,1,0.306874305,억지로 이끌어가는 스토리에 정말 경이로웠다;; ,0.248719897,381,261,0.206874305
25,1,0.267485589,킬링타임용.. 기대인하면 볼만한데 전개가 매우 부실해서 실소가 나옴 ,0.443050401,381,263,0.167485589
26,8,0.370849401,나름 잼있음 현빈 존라 멋져 ,0.472222471,170,53,0.429150599
28,1,0.42916739,기대이하의 올드한 한국 액션코미디. CJ언플 쩐다 ,0.567286725,263,150,0.32916739
29,10,0.493094742,1000만이상이 확실함 ,0.670820393,214,102,0.506905258
30,9,0.998945832,넘 재미있게 봤어요.현빈의 액션 연기 넘 최고~~^^ ,0.168325082,147,43,0.098945832
31,1,0.400388002,나참 1970년대 영화 보는 줄. 관객을 우습게 봐도 유분수. ,-0.03555938,273,175,0.300388002
32,1,0.095590323,8.84 를 받을 영화는 아닌거같아요 개연성ㅇ ㅣ특히나 너무 없어요.. ,0.210818511,183,87,0.004409677
33,1,0.328437924,평론가점수가 지대로네 ,0.666885929,217,123,0.228437924
34,10,0.439782053,연기력이 빛나네요...현빈 ,0.774596669,140,47,0.560217947
35,1,0.472075462,생각보다 점수가높아서 평론가점수가정확 ,0.284198052,259,166,0.372075462
36,10,0.871680856,지루할 틈 없이 너무 재밌게 잘 봤어요어머니도 많이 웃으시면서 보셨어요 ,0,142,52,0.128319144
37,10,0.757954538,재밌다. 오랜만에 웃었네  윤아는 이쁘고 현빈은 잘생기고 유해진은 매력넘치고 최고의 조합이네 ,0.707106781,143,53,0.242045462
38,1,0.010188162,알바너무많네. 개연성은 어디다 엿 바꿔먹고  중간중간 이해 안 될 상황도 너무많다. 종반부에 그 귀하다는 판을  장관회담까지 열리게 한 판을 혼자 들고가게 하는게 말이됨? 이건 감독이 욕 쳐먹어야함. 유해진이니까 그나마 이 정도라도 살린거임. ,0.078811041,172,85,0.089811838
39,9,0.852006078,의외로 현빈.유해진 케미좋네..  생각없이 시간보내기엔 좋은영화 ,0.2521657,122,36,0.047993922
40,9,0.990371525,재미있게 잘봤습니다^^ ,0.410054621,137,54,0.090371525
41,1,0.115951031,진부한전개에 어떻게 2시간동안 이정도 내용밖에 담지 못했는지도 의문이네요 보면서 몇번 피식하는 장면은 있고 액션신은 생각보다 봐줄만했습니다 근데 이게 어떻게 8.85점 짜리영화인지 절대 모르겠네요 전 검사외전보다 재미없는영화 첨봅니다 ㅋㅋ ,0.579773359,147,69,0.015951031
42,6,0.526118994,10점 아니면 1점...댓글부대의 평점조작에 열받은 네티즌의  평점테러! ,0.400825246,178,100,0.073881006
43,1,0.511083305,알바들아 적당히하자 진짜 ,0.774596669,174,103,0.411083305
44,1,0.01244238,스토리가 별로..식상 ,0.772774476,142,72,0.08755762
45,5,0.868653476,네 현빈 연기가 아주 좋아요.. 재미짐요 ,0.476822965,112,43,0.368653476
46,1,0.007753044,배우가 아깝다.... ,0.866025404,162,94,0.092246956
48,1,0.00064671,요즘에도 이런작품이 먹힐거라 생각하나...감독 반성좀 해라. 아무리 코미디라지만 개연성도 없고 너무 유치하네요. 요 근래 본 영화중 최악. ,0.866025404,168,107,0.09935329
49,10,0.336824238,살짝 아쉬운감이 없지않아 있었지만 그건 일부러 배우들의 감정선에 집중하셨다고 하신 감독님의 의도라 하셔서 괜찮 ~~ 재밌어요 강추 ,0.224177602,124,65,0.663175762
50,1,0.432131857,갠적으로 노잼 진부한 클리셰 ,0.511954529,104,48,0.332131857
51,1,0.431918681,초중학생수준의 그런 재미잇는영화 ,0.676123404,169,114,0.331918681
52,10,0.935844243,굿굿 아주 너무너무 깊게 영화 잘봤습니다 ,0.866025404,93,41,0.064155757
53,8,0.429823399,현빈과 해진님의 꽁트같은 신이 많군 ,0.365819377,92,41,0.370176601
54,10,0.864630699,김주혁씨. . 이제 연기가 물이 오른것 같았는데 . . 당신을 떠나보내야 한다는게 정말 절망적이네요. . 영화계에도 큰별이 진것같아 너무 슬프네요.  김주혁이라는 사람을 보내는게 이렇게 우울하고 슬플수가 없네요. 이게 꿈이길 바랍니다. ,0.704702687,53,4,0.135369301
55,1,0.150307,댓글 알바..?액션때문에 별 하나.개연성 없고 유치하고 기시감 투성이.탐정 더 비기닝에 의형제 섞은 느낌? ,0.21821789,103,55,0.050307
56,1,0.009981662,음.. 이건 별로임... ,0.66808741,163,115,0.090018338
57,1,0.192774206,18일 보고나니 총체적 난국이네요. 한국영화 수준을 10년전으로 되돌리는 느낌에다가  영화도중 중간에 나가는 사람도 간만에 봤네요.  정말로 배우가 아깝고  제작비가 아까운 영화이고  영화가 끝날때까지 수준 이하의 장면이 끝나지 않네요. -.-;; ,0.550782484,147,102,0.092774206
58,1,9.65E-05,최악이다 ...진짜 재미 없게 본 영화 ..돈이 아깝다 ,0.763762616,157,113,0.099903542
59,1,0.132760674,연기는 좋으나 스토리나 연출은 좀... 나이드신분들은 웃기다고 좋아하실듯 ,0.340733138,120,77,0.032760674
60,1,0.117636263,중반 까지는 그럭저럭 볼만하다가 후반부 납치씬부터 오글거림과 진부함의 극치를 달리고 있음 둘이 언제부터 사이가 좋아진거야? ,0.451066584,71,29,0.017636263
61,1,0.454172194,와아~ 윤제균 제작이다  아주 균이네 균 ,0.154242449,107,66,0.354172194
62,10,0.432872564,오늘 공조와 더킹 둘다 봄..둘다 괜찮은데. 개인적으론 공조가 더 맘이 가네요..모처럼 지루할 틈이 없는 영화를 본듯...멋진 현빈. 기대대로의 유해진. 생각이상 김주혁 ..그리고 윤아는 큰 역할이 아님에도 너무 자연스럽게 연기해. 놀랐다는~ ,0.128715403,89,49,0.567127436
63,1,0.014079332,몰입도안되고 그다지 재미없었음 ,0.454950098,102,62,0.085920668
64,1,0.427002311,제발  댓글에 낚여서 보지 마세요 ,0.5,123,83,0.327002311
65,1,0.556240916,양산형 ㅆㄹㄱ영화 보지마셈 ,0.280313809,66,27,0.456240916
66,1,0.031751901,진짜 언론플레이 개쩌는 영화임 ㄷㄷ돈 아까워 죽겠음 ㄷㄷ 이거 괜히 더킹 사람들 못 보게 하려고 수작 부리는듯 ,0.845154255,66,27,0.068248099
67,10,0.57938844,현빈의 액션도 그렇지만 유해진과 윤아의 캐미도 돋보였음 ,0.276720114,75,36,0.42061156
68,10,0.976492643,스릴넘치구 스토리 좋고 추격씬 재밌었어요 ,0.612372436,77,38,0.023507357
69,10,0.949465513,가볍게 보러 왔는데  액션도 좋고~~명절 영화로 딱일듯 ,0.378869736,72,34,0.050534487
70,1,0.725171328,윤제균제작이다 더이상 무슨말이 필요한가... ,0.110074826,101,67,0.625171328
71,10,0.422001123,김주혁배우님.. 하늘에서는 편히 쉬기 바랍니다 삼가 고인의 명복을 빕니다... ,0.23496253,38,5,0.577998877
