,rating,sentiment,review,spearman,sympathy,unsympathy,correlation
1,10,0.151121676,이렇게 주인공이 걱정이 안되는영화는 첨이네요.. ,0.189855945,17365,345,0.848878324
2,10,0.272078693,혼자야?응 아직 싱글이야 ㅋㅋㅋㅋ ,0.3007067,12118,290,0.727921307
3,10,0.421050727,윤계상은 이제 배우라 불러도 손색없을듯! 악역 진짜 잘함 어찌나 몰입했던지 보는 중간에 나쁜놈이라 욕나옴. 시작은 마동석이 끝은 윤계상이 다함 ,0.122432608,10955,528,0.578949273
4,10,0.727312803,범죄도시 이건 신세계. 베테랑. 공공의적 다 보이는 영화인것같다. 대박조짐 시사회때 봤는데 또볼수밖에 없네 2017년 영화 중 top 1임 다들 달려가세요!!! ,0.301672896,7863,832,0.272687197
5,10,0.510300875,졸라잼있음 한번보세요 ,0.180306825,6268,393,0.489699125
6,9,0.806674004,윤계상배우의 연기 멋졌어요. ,0.385649358,5382,295,0.093325996
7,10,0.620532155,시원하다 화끈하다 마블리를 느껴라 ,0.24891212,4838,215,0.379467845
8,10,0.634498,기대 이상 꿀잼ㅋㅋㅋ 잔인 할수 있으나 마동석 고유의 연기랑 윤계상 조선족 연기로 몰입감 하나는 최고. ,-0.196667577,4420,249,0.365502
9,10,0.359317482,소문듣고 보고 왔는데 간만에 진짜 한국형오락액션 탄생이다 평점알바 썼었나했는데 시사회 많이 한 이유를 알겠음자신감 있을수밖에 베테랑같은 캐사이다 영화에요 이건 진짜 강추해도 욕안먹음!!!! 빵빵터졌네 진짴ㅋㅋㅋ ,-0.016020352,3230,145,0.640682518
11,10,0.937084317,윤계상도 넘 잘하지만 데리고 다니는 두명이 진짜 조선족인줄 진짜 연기 지림 ,0.455967122,2909,45,0.062915683
12,8,0.776890993,영화에 나오는 악역들이 대박입니다.3인조 조선족 악당들 정말 연기면 연기 액션이면 액션 머 하나 뒤쳐지는게 없네요.악역들이 영화를 더욱 재밌게 만들었습니다. ,0.298013526,2932,81,0.023109007
13,10,0.729082406,청년경찰이 500만명인데 이영화는 800만은 들어야 한다고봄.. 볼까말까 고민하시면 보시는걸 추천 본사람 80프로는 재미있다고함 나머지 20프로 스토리 따지는 깨시민 ,0.451630427,2837,211,0.270917594
14,10,0.999836445,단짠 단짠 같은 영화!!! 웃기다가 쪼이다가 웃기다가 쪼이다가~~!!! 2시간이 순식간에 지나 갔네요 ㅎㅎ 역시 명절에 사이다같이 시원한 액션이 쵝오!! 그리고 생각보다 잔인하지 않았어요! 딱 기분좋게 볼만한 액션의 강도였어요^^ ,0.688723872,2221,123,0.000163555
15,10,0.967055321,생각보다 늠 재미있다아아!!!! 뭣보다 통쾌하더라!아 마블리 영화라고들 하던데 난 윤계상 악역 변신 완전 멋지더라- 처음으로 배우처럼 느껴짐!!! ,0.263038482,1958,96,0.032944679
16,10,0.372683466,"평론 작성한 기자분, ‘아트박스 사장의 재림’이래 ㅋㅋㅋㅋ ",0.354190749,1690,63,0.627316535
17,10,0.629368126,마블에 '헐크'가 있다면 한국에는 '마동석'이 있다 ,0.151869614,1477,48,0.370631874
18,10,0.366141379,봐도  후회없는 영화이고  잔인해도  볼 만 함. ,0.199881908,1387,81,0.633858621
19,8,0.839876533,킹스맨2보다 재미있게 봤습니다.  마동석씨를 위한 영화ㅎㅎㅎ 그와중에 윤계상씨와 조연들 연기도 굿굿 ,0.830236257,1382,99,0.039876533
20,10,0.340795964,내가 장담컨대 이거 무조건 흥행한다.올해 뿐만 아니라 내 인생영화 top5 들어간다.완전 최고다 진짜...와.. ,0.414677793,1352,144,0.659204036
21,10,0.235989302,천만영화나왔네핵잼있는영화 ,-0.5,1178,82,0.764010698
22,10,0.999002934,대박~~시간가는줄 모르고 봤습니다~~잔인한 장면이 있어 눈감은 장면이 있었지만~~넘 잼있게 봤습니다~^^귀여운 마블리~~윤계상 연기변신~~짱~~이제 윤계상씨보면 무서울듯~~ ,0.488385836,1013,54,0.000997066
23,10,0.680722714,시사회로 보고왔습니다 마동석 윤계상 연기 진짜 대박이고 조연배우들도 연기가 장난이아닙니다... 긴장감 넘치는스토리도 너무 맘에들고 마요미식 유머도 꿀잼 조진웅 예정화 까메오나옵니닼ㅋㅋ 올 추석 꼭보세요 !!! 참고로 아이돌 없습니다!!!! ,0.201843357,906,53,0.319277287
24,10,0.807759166,매력 넘치는 캐릭터가 많아 보기 좋네요 ,-0.053545813,850,63,0.192240834
25,10,0.936426044,윤계상 연기 진짜 잘하는듯ㅋㅋㅋ꿀잼 ,0.780331971,785,32,0.063573956
26,10,0.929244876,"팔순 어머님과 봤는데, 2시간 순삭!! 루즈하지도 않고, 조연들의 연기는 완전 최고네요. 좋은 배우로 더 많이 보고싶어요. 마동석은 현실계 헐크같고, 윤계상은 진짜 배우가 되어버렸네요. 티켓파워없는 캐스팅이지만, 간만에 재밌게 본 영화 등극! ",0.208893187,728,78,0.070755124
28,10,0.395632923,마동석 윤계상 이번에 떴다 ,0.927633657,566,21,0.604367077
30,9,0.984795213,ㅋㅋ잔인한것도 있지만 재밌게 잘 봤음 ,0.383082951,554,24,0.084795213
31,10,0.971204937,올해중 나에겐 최고였다 ,0.40824829,543,30,0.028795063
32,9,0.536659122,윤계상 진짜 멋지네요. 비스트 보이즈에서도 멋있었는데 중박이상은 하겠네요 ,0.548985684,513,30,0.363340878
33,9,0.933475494,"마동석의 슈퍼히어로물 이라며 평을 낮게 주는 평론가들의 수준이 의심된다. 정말 있을법한 현실감과 영화특유의 각색, 연출, 유머 등 짜임새가 훌륭한 구성이었다. 베테랑의 레벨보다 한단계 더 뛰어넘은 영화다. ",0.501712987,487,30,0.033475494
34,10,0.277076423,마동석 너무 멋있습니다....윤계상도 연기력 굿굿 ,0.388595594,463,24,0.722923577
